epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
58,9916.03,0.66028,0.32723,0.01285,0.98875,0.97931,0.99187,0.90295,0.47944,0.1686,0.01331,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,10086.8,0.66032,0.3246,0.01274,0.98892,0.9823,0.99245,0.90672,0.47372,0.16701,0.01312,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,10256.9,0.65933,0.32008,0.01279,0.989,0.97931,0.99315,0.90708,0.46533,0.1648,0.0128,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,10427.5,0.6472,0.31989,0.01251,0.98916,0.97931,0.99381,0.90775,0.46832,0.1633,0.01291,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,10597.8,0.64504,0.30975,0.01239,0.98349,0.97843,0.99244,0.90703,0.46365,0.17039,0.01281,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,10768.4,0.6337,0.30749,0.01222,0.98674,0.98234,0.99178,0.90844,0.46329,0.16447,0.01278,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,10939.2,0.62915,0.31091,0.01204,0.98319,0.97853,0.99304,0.90567,0.45997,0.16971,0.01269,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,11108.9,0.64131,0.31295,0.0123,0.98719,0.97843,0.99363,0.90231,0.46009,0.16717,0.0127,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,11280,0.62673,0.3131,0.01201,0.98729,0.97799,0.99338,0.90393,0.45649,0.16514,0.01253,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,11450.2,0.62168,0.30663,0.01203,0.98882,0.97711,0.9922,0.9084,0.45398,0.1628,0.0125,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,11620.9,0.62122,0.30648,0.01191,0.9867,0.97961,0.99216,0.91131,0.45073,0.16326,0.01245,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,11791.7,0.61721,0.29273,0.01191,0.9876,0.98019,0.99298,0.91344,0.45064,0.15887,0.0124,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,11962.3,0.61083,0.29846,0.01167,0.99023,0.97711,0.99259,0.91052,0.45226,0.16249,0.01249,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,12133.3,0.6021,0.28984,0.01158,0.98683,0.97975,0.99314,0.91289,0.44471,0.15945,0.01225,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,12303.5,0.59075,0.28203,0.01123,0.98456,0.98242,0.99347,0.91485,0.44333,0.15242,0.01216,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,12474.7,0.601,0.29228,0.01153,0.98612,0.98283,0.99317,0.91316,0.44228,0.15651,0.01213,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,12645.4,0.59472,0.28988,0.0114,0.98672,0.98195,0.99328,0.91374,0.43722,0.15373,0.01195,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,12816.2,0.59107,0.28489,0.01135,0.98759,0.98074,0.99254,0.91534,0.43584,0.15546,0.01195,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,12986.6,0.58265,0.28888,0.01119,0.99142,0.98107,0.99327,0.91456,0.43294,0.15137,0.01183,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,13157,0.58042,0.283,0.01114,0.98958,0.98107,0.9933,0.91642,0.43263,0.15375,0.01187,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,13328.1,0.57621,0.27926,0.01087,0.98849,0.98285,0.99282,0.91829,0.43078,0.15383,0.01177,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,13498.3,0.57091,0.27293,0.01089,0.99056,0.97887,0.9924,0.9186,0.4293,0.15411,0.01175,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,13669,0.56002,0.27797,0.01075,0.98846,0.98032,0.99302,0.92245,0.42816,0.15144,0.0117,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,13839.8,0.5556,0.26783,0.01072,0.98937,0.98274,0.9926,0.92227,0.42757,0.14937,0.01169,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,14010.3,0.55133,0.26938,0.01052,0.98998,0.98327,0.9917,0.92219,0.42657,0.14859,0.01166,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,14181.2,0.56085,0.27853,0.01085,0.98807,0.98107,0.99158,0.92256,0.42351,0.14745,0.01156,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,14351.1,0.54958,0.27131,0.01045,0.98714,0.97991,0.99225,0.92379,0.42257,0.14996,0.01154,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,14522,0.54928,0.27573,0.0105,0.98757,0.98327,0.99187,0.92283,0.42149,0.14735,0.01148,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,14692.4,0.53855,0.26204,0.0103,0.98852,0.97975,0.9926,0.9252,0.4188,0.14681,0.01141,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,14863.3,0.53734,0.26015,0.01023,0.99009,0.97931,0.99294,0.9236,0.42056,0.14624,0.01147,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,15034.1,0.52985,0.26568,0.01013,0.98891,0.98143,0.99319,0.92453,0.42015,0.14407,0.01146,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,15204.5,0.52583,0.2568,0.00996,0.99158,0.98063,0.99301,0.92401,0.41837,0.14501,0.01141,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,15375.5,0.52383,0.25351,0.01009,0.98979,0.98136,0.9929,0.92435,0.41632,0.14552,0.01135,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,15535,0.40453,0.13532,0.0119,0.99053,0.98195,0.9933,0.92586,0.41606,0.14259,0.01133,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,15694.8,0.38952,0.12762,0.01143,0.99022,0.98071,0.99337,0.92608,0.417,0.1453,0.01134,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,15855,0.38093,0.12507,0.01109,0.99109,0.97944,0.99286,0.92614,0.41832,0.14557,0.01136,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,16014.4,0.37286,0.12321,0.01086,0.99143,0.97975,0.99291,0.92573,0.41661,0.14582,0.01132,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,16174.5,0.36755,0.12015,0.01063,0.99197,0.97895,0.99223,0.92601,0.415,0.1448,0.01127,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,16334.8,0.36074,0.11787,0.0105,0.99022,0.98019,0.99146,0.92587,0.41464,0.14457,0.01126,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,16494.4,0.35689,0.11845,0.01026,0.9889,0.98008,0.99187,0.92591,0.41386,0.14585,0.01123,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,16654.2,0.35152,0.11686,0.01012,0.98935,0.98141,0.99144,0.92523,0.4139,0.14512,0.01123,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,16814.4,0.348,0.11394,0.01007,0.98957,0.98107,0.99128,0.92556,0.41286,0.14686,0.01121,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,16974,0.34471,0.11386,0.00992,0.98934,0.98022,0.99134,0.92622,0.41199,0.14589,0.01118,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
